date,light_sleep_breathing_rate (breaths per minute),deep_sleep_breathing_rate (breaths per minute),rem_sleep_breathing_rate (breaths per minute),full_sleep_breathing_rate (breaths per minute)
2024-05-24,14.2,15.2,14.6,15.2
2024-05-25,14.4,16.2,14.6,16.2
