Date,Time (HH:mm),RMSSD (ms),Data Coverage,High Frequency Power,Low Frequency Power
2024-05-31,03:00,30.883,0.926,322.854,738.416
2024-05-31,03:05,31.198,0.986,460.066,423.642
2024-05-31,03:10,30.612,0.832,187.068,903.09
2024-05-31,03:15,25.313,0.879,161.401,236.084
2024-05-31,03:20,21.275,1.003,121.225,227.555
2024-05-31,03:25,27.094,0.967,220.593,587.688
2024-05-31,03:30,23.17,1.002,179.228,401.972
2024-05-31,03:35,19.859,1.003,132.621,224.411
2024-05-31,03:40,22.712,0.95,129.649,785.085
2024-05-31,03:45,26.108,0.925,144.062,1970.492
2024-05-31,03:50,24.913,1.004,221.484,378.39
2024-05-31,03:55,22.268,1.002,146.351,415.244
2024-05-31,04:00,21.465,0.961,132.618,335.85
2024-05-31,04:05,16.668,1.002,121.129,291.38
2024-05-31,04:10,16.163,0.932,81.524,564.133
2024-05-31,04:15,23.021,0.782,77.443,853.447
2024-05-31,04:20,25.658,0.871,125.682,1882.739
2024-05-31,04:25,21.491,0.976,147.713,177.284
2024-05-31,04:30,26.386,1.002,208.021,218.762
2024-05-31,04:35,25.898,0.946,184.309,213.858
2024-05-31,04:40,26.22,1.001,211.421,374.044
2024-05-31,04:45,25.597,1.003,187.18,253.69
2024-05-31,04:50,24.754,0.994,172.853,403.722
2024-05-31,04:55,28.161,1.003,221.641,370.289
2024-05-31,05:00,25.613,1.002,186.479,314.721
2024-05-31,05:05,27.055,0.954,240.917,462.007
2024-05-31,05:10,24.253,0.841,118.549,1448.906
2024-05-31,05:15,20.71,1.002,132.844,1294.248
2024-05-31,05:20,8.774,1.004,12.098,134.002
2024-05-31,05:25,11.597,0.985,29.812,234.479
2024-05-31,05:30,17.966,0.917,107.888,269.2
2024-05-31,05:35,21.923,1.003,195.073,262.506
2024-05-31,05:40,24.188,0.94,213.292,293.058
2024-05-31,05:45,26.912,1.005,228.592,866.34
2024-05-31,05:50,21.958,1.001,146.613,360.631
2024-05-31,05:55,22.149,1.004,136.988,204.187
2024-05-31,06:00,29.39,0.929,210.933,943.083
2024-05-31,06:05,24.139,1.003,172.127,129.611
2024-05-31,06:10,26.281,1.004,224.272,271.331
2024-05-31,06:15,26.053,1.002,276.044,188.593
2024-05-31,06:20,26.989,1.002,237.721,252.478
2024-05-31,06:25,32.668,0.943,352.733,1223.14
2024-05-31,06:30,27.933,0.995,223.599,710.316
2024-05-31,06:35,24.527,1.003,163.234,570.968
2024-05-31,06:40,30.411,0.914,228.267,691.985
2024-05-31,06:45,31.739,0.924,261.156,1754.728
2024-05-31,06:50,29.056,1.003,242.262,578.496
2024-05-31,06:55,19.847,0.988,154.108,234.937
2024-05-31,07:00,16.904,0.977,95.51,518.754
2024-05-31,07:05,21.241,0.943,164.736,668.73
2024-05-31,07:10,30.295,0.958,192.361,1263.248
2024-05-31,07:15,28.577,0.941,205.941,843.093
2024-05-31,07:20,32.585,1.002,377.33,398.197
2024-05-31,07:25,34.467,1.003,438.897,1282.672
2024-05-31,07:30,36.539,0.91,352.955,976.445
2024-05-31,07:35,26.995,0.943,257.72,1063.884
2024-05-31,07:40,28.959,1.0,259.499,651.707
2024-05-31,07:45,30.811,1.004,348.694,718.781
2024-05-31,07:50,32.565,1.004,313.53,1046.226
2024-05-31,07:55,31.447,1.002,277.3,397.15
2024-05-31,08:00,34.112,1.005,364.394,377.748
2024-05-31,08:05,32.507,1.003,256.673,455.808
2024-05-31,08:10,32.793,0.953,279.942,2740.648
2024-05-31,08:15,31.613,1.002,274.996,650.02
2024-05-31,08:20,36.157,0.971,458.29,1134.98
2024-05-31,08:25,26.857,1.003,206.647,680.782
2024-05-31,08:30,26.95,1.004,133.697,1151.144
2024-05-31,08:35,30.739,0.963,306.336,963.391
2024-05-31,08:40,23.649,0.858,118.462,684.773
2024-05-31,08:45,21.359,0.741,148.106,209.573
2024-05-31,08:50,20.689,0.922,134.653,383.11
2024-05-31,08:55,19.873,0.833,116.428,552.308
2024-05-31,09:00,13.556,1.003,58.411,312.248
2024-05-31,09:05,18.406,0.96,115.359,346.425
2024-05-31,09:10,17.922,0.935,74.566,372.591
2024-05-31,09:15,21.393,0.971,156.389,481.169
