date,time,rmssd (ms),coverage,hf,lf
2024-06-25,11:35,34.291,0.927,300.288,936.302
2024-06-25,11:40,32.396,0.927,264.978,666.612
2024-06-25,11:45,34.198,0.91,308.103,723.12
2024-06-25,11:50,34.509,0.959,374.772,683.222
2024-06-25,11:55,35.681,0.874,250.126,769.139
2024-06-25,12:00,32.188,0.979,283.846,795.14
2024-06-25,12:05,40.711,0.947,407.25,919.835
2024-06-25,12:10,43.457,0.954,562.466,961.005
2024-06-25,12:15,44.041,1.005,532.414,1071.375
2024-06-25,12:20,44.93,0.996,520.901,1104.173
2024-06-25,12:25,41.807,0.997,552.66,706.872
2024-06-25,12:30,44.024,0.997,576.91,2649.465
2024-06-25,12:35,37.973,1.004,417.408,578.381
2024-06-25,12:40,39.926,0.946,402.996,737.664
2024-06-25,12:45,48.63,0.821,584.676,1963.678
2024-06-25,12:50,37.985,0.992,332.685,2783.838
2024-06-25,12:55,32.834,0.958,276.512,982.918
2024-06-25,13:00,33.214,0.99,344.331,1621.323
2024-06-25,13:05,34.004,1.004,394.902,751.183
2024-06-26,05:35,43.892,0.896,351.723,294.271
2024-06-26,05:40,39.406,0.93,355.792,345.149
2024-06-26,05:45,37.469,0.934,252.384,367.644
2024-06-26,05:50,36.567,0.976,326.007,481.632
2024-06-26,05:55,40.949,1.0,418.003,315.824
2024-06-26,06:00,39.664,0.996,415.112,363.186
2024-06-26,06:05,40.517,0.918,342.547,482.451
2024-06-26,06:10,50.804,0.991,839.902,504.543
2024-06-26,06:15,48.317,0.997,661.998,219.594
2024-06-26,06:20,47.149,0.939,544.48,1435.141
2024-06-26,06:25,47.037,0.913,719.069,5638.927
2024-06-26,06:30,38.506,0.988,358.968,400.093
2024-06-26,06:35,33.326,1.003,287.146,517.103
2024-06-26,06:40,38.269,0.943,549.566,767.488
2024-06-26,06:45,42.241,0.974,571.861,2215.787
2024-06-26,07:05,62.875,0.984,1375.649,339.175
2024-06-26,07:10,58.704,0.999,925.311,313.56
2024-06-26,07:15,50.074,0.999,724.751,595.647
2024-06-26,07:20,45.837,0.911,462.439,1928.072
2024-06-26,07:25,40.391,0.934,346.854,1449.37
2024-06-26,07:30,54.222,0.941,800.047,2027.968
2024-06-26,07:35,53.085,0.982,621.342,4542.467
2024-06-26,07:40,51.169,0.849,387.954,2662.4
2024-06-26,07:45,51.42,0.961,843.991,586.891
2024-06-26,07:50,58.379,0.975,779.927,893.852
2024-06-26,07:55,56.871,0.998,913.04,824.668
2024-06-26,08:00,51.208,0.978,694.551,667.369
2024-06-26,08:05,45.56,0.899,387.659,2419.696
2024-06-26,08:10,38.646,0.989,435.94,1080.763
2024-06-26,08:15,32.766,0.867,216.082,719.198
2024-06-26,08:20,34.208,1.004,546.282,585.53
2024-06-26,08:25,34.588,0.964,301.605,1223.875
2024-06-26,08:30,30.12,0.945,240.628,1005.076
2024-06-26,08:35,40.311,0.943,413.699,1339.274
2024-06-26,08:40,36.653,1.006,311.566,557.061
2024-06-26,08:45,36.859,0.986,366.04,926.197
2024-06-26,08:50,42.785,0.997,426.793,499.425
2024-06-26,08:55,43.195,0.994,427.715,541.013
2024-06-26,09:00,42.421,0.991,403.874,349.074
2024-06-26,09:05,42.762,0.827,372.942,684.501
2024-06-26,09:10,41.563,0.944,369.263,1253.341
2024-06-26,09:15,55.188,0.977,653.67,2799.907
2024-06-26,09:20,55.572,0.953,863.295,1098.701
2024-06-26,09:25,39.24,1.0,373.794,1104.787
2024-06-26,09:30,21.629,0.994,143.807,879.532
2024-06-26,09:35,27.678,0.992,151.164,686.841
2024-06-26,09:40,37.634,1.0,438.661,1032.222
2024-06-26,09:45,43.988,0.923,500.602,1923.462
2024-06-26,09:50,50.761,1.003,897.289,1851.613
2024-06-26,09:55,52.826,1.004,877.409,863.498
2024-06-26,10:00,43.287,0.93,399.453,629.999
2024-06-26,10:05,49.419,0.997,675.138,298.014
2024-06-26,10:10,45.975,0.999,466.666,340.346
2024-06-26,10:15,41.075,0.961,460.437,1047.577
2024-06-26,10:20,48.435,0.989,565.021,1185.924
2024-06-26,10:25,49.919,0.99,717.445,315.555
2024-06-26,10:30,48.997,0.985,678.154,1069.963
2024-06-26,10:35,48.349,0.997,692.18,444.848
2024-06-26,10:40,47.78,0.997,624.487,483.54
2024-06-26,10:45,44.376,0.975,532.453,407.612
2024-06-26,10:50,51.007,0.991,731.653,678.68
2024-06-26,10:55,46.515,0.925,634.081,1284.385
2024-06-26,11:00,47.835,0.929,598.341,2083.181
2024-06-26,11:05,34.916,1.004,247.957,776.212
2024-06-26,11:10,40.974,0.89,482.409,696.237
2024-06-26,11:15,49.33,0.702,597.414,1492.158
2024-06-26,11:20,45.857,0.839,752.881,750.947
2024-06-26,11:25,32.898,0.848,282.191,315.941
2024-06-26,11:30,28.46,0.825,168.701,497.317
2024-06-26,11:35,33.07,1.003,296.284,504.349
